TERM,TRANSLATION,TRIPLE,SENTIMENT,SPECIFICITY
__________ ____,independent nature,Sa J Mer,good,generic
___________ ____,adaptable nature,Sa J Mer,good,generic
_________ __________,appear malevolent,Sa J Mer,bad,generic
_________ __________,appear wicked,Sa J Mer,bad ,generic
__________ _________,covetous of others' property,Sa J Mer,bad,specific
__________,thievish,Sa J Mer,bad,generic
__________,greedy,Sa J Mer,bad,generic
_______ __________,suffer upsets,Sa J Mer,bad,generic
_______ __________,suffer judgements,Sa J Mer,bad,generic
__________ _______,public infamy,Sa J Mer,bad,generic
___________ _______,public disgrace,Sa J Mer,bad,generic
______ ________,success in matters,Sa J Mer,good,generic
______,trustworthy,Sa J Mer,good,
______ _____________,worthy of gifts,Sa J Mer,good,
_____ _____________,worthy of honours,Sa J Mer,good,
___________,generous,Sa J Mer,good,
______ ___ __________ ______________,benefit own and others,Sa J Mer,good,
_________ _________,take part in mysteries,Sa J Mer,?,
____________ _______,follow curious arts,Sa J Mer,?,
________ ___________,pretend to be straightforward,Sa J Mer,bad,
______,forcible,Sa Mar Su,?,
___________,dangerous,Sa Mar Su,bad,
_______,bold,Sa Mar Su,good,
____________,ambitious,Sa Mar Su,good,
__________,wicked,Sa Mar Su,bad,
______,atheists,Sa Mar Su,bad,
________,traitors,Sa Mar Su,bad,
____________,insubordinates,Sa Mar Su,bad,
__________,hate own family,Sa Mar Su,bad,
_____ ____________,abandon own family,Sa Mar Su,bad,
_________,slanders,Sa Mar Su,bad,
_________,dangers,Sa Mar Su,bad,
___ _____ _______,falls from high places,Sa Mar Su,bad ,
___ __________ _______,falls from animals,Sa Mar Su,bad,
_________ ______,scared of burns,Sa Mar Su,bad,
__________,toilsome,Sa Mar Su,bad,
__ ___________ __ ___________,don't guard possessions,Sa Mar Su,bad,
_________ __________,covetous of others' property,Sa Mar Su,bad,
__ _____ __________,profit from crime,Sa Mar Su,bad,
__________ __ _______,venturesome in business,Sa Mar Moo,good,
________,noble,Sa Mar Moo,good,
____________,ineffective,Sa Mar Moo,bad,
___________ ______________,meeting reversals,Sa Mar Moo,bad,
_______ _______________,meeting reversals,Sa Mar Moo,bad,
_____,violent,Sa Mar Moo,bad,
_________,reclusive,Sa Mar Moo,bad,
_________,wicked,Sa Mar Moo,bad,
_______,greedy,Sa Mar Moo,bad,
_________,thievish,Sa Mar Moo,bad,
_____ _____________,become defendents in trials,Sa Mar Moo,bad,
_______ ____________ ______ ___________,experiencing jail,Sa Mar Moo,bad,
_________,injured,Sa Mar Moo,bad,
________,diseased,Sa Mar Moo,bad,
______ _____,violent death,Sa Mar Moo,bad,
__________ _________ _______,initially favourable for business,Sa Mar V,good,
__________ _________ ______,initially favourable for friendships,Sa Mar V,good,
__________ _________ __________ ,initially favourable for associations,Sa Mar V,good,
________,profit,Sa Mar V,good,
_____,rank,Sa Mar V,good,
_________,political associations,Sa Mar V,good,
_______ __________,"later, disturbed",Sa Mar V,bad,
________,liable to lawsuits,Sa Mar V,bad,
__________,liable to hatred/envy,Sa Mar V,bad,
_________,liable to treachery,Sa Mar V,bad,
_____________ ,become accusers,Sa Mar V,bad,
__________ ______ ________ ___ ______,endure hostility from men and women,Sa Mar V,bad ,
______ __________,shameful faults,Sa Mar V,bad,
_________,adultery,Sa Mar V,bad,
___________,subject of scandal,Sa Mar V,bad,
_____________,denunciated,Sa Mar V,bad,
_________ ______,unnatural fetishes / sexual vices,Sa Mar V,bad,
__________ _________,criminal accomplices,Sa Mar V,bad,
__________ ________,accomplices in poisonings,Sa Mar V,bad,
__________,crime,Sa Mar Mer,bad,
______,treachery,Sa Mar Mer,bad,
_______,judgements,Sa Mar Mer,bad,
_______,alarms,Sa Mar Mer,bad,
_______ (_______ ________),debt for scriptures / mysteries,Sa Mar Mer,bad,
______,tribulations,Sa Mar Mer,bad,
___________,ruin,Sa Mar Mer,bad,
_______,keen,Sa Mar Mer,good,
__________ ____ _______,intelligent in business,Sa Mar Mer,good,
________ ____,varied life,Sa Mar Mer,good,
_______________ ___ _______,maligned because of violence,Sa Mar Mer,bad,
_________ _______,toilsome business,Sa Mar Mer,bad,
___________ _______,dangerous business,Sa Mar Mer,bad,
________ _____________,fall into poverty,Sa Mar Mer,bad,
_____ ____________,blaspheme gods,Sa Mar Mer,bad,
________,oathbreakers,Sa Mar Mer,bad,
_____,atheists,Sa Mar Mer,bad,
_____________ ,criminal charges,Sa Mar Mer,bad,
_______,imprisonments,Sa Mar Mer,bad,
_________________ ______,prevail in struggles for others,Sa Mar Mer,good,
___________ ___ _____,profit from documents,Sa Mar Mer,good,
___________ ___ _____,profit from accounts,Sa Mar Mer,good,
___________ ___ _________,profit from office,Sa Mar Mer,good,
__ ___ _____________,increased livelihood,Sa Mar Mer,good,
_________ _______,lofty associations,Sa V Su,good,
_________ _____,honours,Sa V Su,good,
_________ _______,good deeds,Sa V Su,good,
_____,high rank,Sa V Su,good,
__________,distinction,Sa V Su,good,
__________ _______,pre-eminence among masses,Sa V Su,good,
__________ ____ ______,unstable with respect to property,Sa V Su,bad,
_________,ups and downs,Sa V Su,bad,
______ __________,dissolve friendships,Sa V Su,bad,
____ ________,reduction of livelihood,Sa V Su,bad,
_____________ _______,exposure because of women,Sa V Su,bad,
_____________ ________,exposure because of religion,Sa V Su,bad,
______ _______,punishments because of women,Sa V Su,bad,
______ ________,punishments because of religion,Sa V Su,bad,
________ ______,unstable with respect to sex,Sa V Su,bad,
________ _________,unstable with respect to relationships,Sa V Su,bad,
_________,vicissitudes,Sa V Moo,bad,
________ ____,instability of life,Sa V Moo,bad,
________ ________,instability with wife,Sa V Moo,bad,
________ ______,instability with mother,Sa V Moo,bad,
________ ______,instability with children,Sa V Moo,bad,
___________,bad manners,Sa V Moo,bad,
__________,ingratitude,Sa V Moo,bad,
__________,jealousy,Sa V Moo,bad,
_______,quarrels,Sa V Moo,bad,
_________,divorces,Sa V Moo,bad,
______,censure,Sa V Moo,bad,
_____________,public exposure,Sa V Moo,bad,
_________ ______,unnatural fetishes / sexual vices,Sa V Moo,bad,
___ _______ _______,not without resource in business,Sa V Moo,good,
____________,accomplished,Sa V Moo,good,
________ ____________,profiting from legacies,Sa V Moo,good,
__ ___________,don't retain wealth,Sa V Moo,bad,
_______________ ___ ______,plotted against by many,Sa V Moo,bad,
__________ __________,accomplices in crime,Sa V Moo,bad,
__________ __________ ,accomplices in poisonings,Sa V Moo,bad,
__________ ________,seducers of women,Sa V Moo,bad,
________,intelligent ,Sa V Mer,good,
_______,clever,Sa V Mer,good,
_______ _______ _______,shrewd and designing in business,Sa V Mer,good,
__________ ______ _______,unsteady in first enterprises,Sa V Mer,bad,
________ _______ _______,frozen in first enterprises,Sa V Mer,bad,
______ __________,covetous of others' property,Sa V Mer,bad,
__________,accomplices in many crimes,Sa V Mer,bad,
__________,seekers of curious lore,Sa V Mer,?,
_________,flexible,Sa V Mer,good,
_________,healing,Sa V Mer,good,
_________ __ _________,enjoying newness,Sa V Mer,good,
_________ __ ________,enjoying change,Sa V Mer,good,
_________ __ ________,enjoying travel,Sa V Mer,good,
________ (_______),disturbances with respect to women,Sa V Mer,bad,
______ ,judgements,Sa V Mer,bad,
________ ___________,wronged by women,Sa V Mer,bad,
_______,injustices,Sa V Mer,bad,
_______ ____,loss of livelihood,Sa V Mer,bad,
________ _______,bad accusations,Sa V Mer,bad,
________ ____ ________ ___ ______,insecure with respect to wife and children,Sa V Mer,bad,
_______ ____ ________ ___ ______,pained with respect to wife and children,Sa V Mer,bad,
________,distinguished,J Su Moo,good,
________,brilliant,J Su Moo,good,
____________,prominent,J Su Moo,good,
__________ ________,supervisors of public affairs,J Su Moo,good,
__________ ________,supervisors of civic affairs,J Su Moo,good,
__________ _________,supervisors of royal affairs,J Su Moo,good,
___________ ,governors,J Su Moo,good,
_____________,generals,J Su Moo,good,
____________,men without peer,J Su Moo,good,
_________,tyrants,J Su Moo,bad,
__________,envied,J Su Moo,?,
_______________,maligned,J Su Moo,bad,
_____________,betrayed,J Su Moo,bad,
__________,hate own family,J Su Moo,bad,
_____________,change minds,J Su Moo,bad,
_________,fickle,J Su Moo,bad,
________ ____ _______,mentally unstable,J Su Moo,bad,
_________,arrogant,J Su Moo,bad,
____ _______ __________,thinking of themselves,J Su Moo,bad,
______________,falling into vicissitudes,J Su Moo,bad,
____ ________ ________________,adorned with the pomp of wealth,J Su Moo,good,
__ _____ ______ ___________,don't stay happy to the end,J Su Moo,bad,
____________,falter,J Su Moo,bad,
________ _______,come to grief,J Su Moo,bad,
___________,shrewd,J Mar Moo,good,
_______,bold,J Mar Moo,good,
_________,public,J Mar Moo,good,
__________,many friends,J Mar Moo,good,
____________ ___ ______ _________,advancing to high place from humble beginnings,J Mar Moo,good,
_______ ______________,thought worthy of trust,J Mar Moo,good,
_____________,governors,J Mar Moo,good,
__________,athletes,J Mar Moo,good,
________,distinguished men,J Mar Moo,good,
___________ ,leaders,J Mar Moo,good,
_____ __________,supervisors of crowds,J Mar Moo,good,
_____ __________,supervisors of places,J Mar Moo,good,
_____ _______________,have a share of offices,J Mar Moo,good,
_______ _______________,have a share of stipends,J Mar Moo,good,
_________ _______________,have a share of priesthoods,J Mar Moo,good,
___________ ,reversals (subject to),J Mar Moo,bad,
___________,criminal charges,J Mar Moo,bad,
_____________ ___ _____,betrayed by own,J Mar Moo,bad,
_____________ ___ _______,betrayed by women,J Mar Moo,bad,
_____________ _______,loss of possessions,J Mar Moo,bad,
__ _______ _____________ ___ ________,later recover possessions because of mysteries,J Mar Moo,good,v specific
___________,disturbances,J Mar Su,bad,
____________,dangers,J Mar Su,bad,
___________,enthusiastic in business,J Mar Su,good,
_____________,effective in business,J Mar Su,good,
_____ __________,share of glory,J Mar Su,good,
____________,leaders,J Mar Su,good,
___________ ,governors,J Mar Su,good,
________ ________ __________,supervisors of public affairs,J Mar Su,good,
_________ ___ __ _______ ________,fall because of the hatred of the great,J Mar Su,bad,
_______,threats,J Mar Su,bad,
_________,betrayals,J Mar Su,bad,
_______ _________,plots from families,J Mar Su,bad,
_____________,criminal charges,J Mar Su,bad,
__ ___ ________ _________ ______________,lifted by favour of the great,J Mar Su,good,
___________,destroyed,J Mar Su,bad,
__________,vigorous,J Mar Mer,good,
_______,enthusiastic,J Mar Mer,good,
____________,active,J Mar Mer,good,
_______ __ _________ ______,salary for public business,J Mar Mer,good,
_______ __ _____________,salary for military assignment,J Mar Mer,good,
_______ ________,salary for royal business,J Mar Mer,good,
_______ ________,salary for civic business,J Mar Mer,good,
_________ ____ ___ ____,unsteady in livelihood,J Mar Mer,good,
____________ ________,spendthrift of goods,J Mar Mer,good,
_________,intelligent,J Mar Mer,good,
_________,trustworthy,J Mar Mer,good,
__________,economic,J Mar Mer,good,
______ __________ ___________,easily correcting mistakes,J Mar Mer,good,
______ _______ ___________,transferring criticism to others,J Mar Mer,?,
_______________,maligned,J Mar Mer,bad,
___________ ,reversals (subject to),J Mar Mer,bad,
__________,athletes,J Mar Mer,good,
_____________,prizewinners,J Mar Mer,good,
_______,trainers,J Mar Mer,good,
___________,skilled at many things,J Mar Mer,good,
____________,fond of travelling,J Mar Mer,good,
___ _____ __________,profiting abroad,J Mar Mer,good,
_____ ___________,failing at their own estates,J Mar Mer,bad,
__________,many friends,J Mar V,good,
____________,easy to get on with,J Mar V,good,
______________ _________ ________,worthy of association with the great,J Mar V,good,
______________ ________ ________,worthy of help from the great,J Mar V,good,
_________,successful,J Mar V,good,
________ _______________,successful with women,J Mar V,good,
_____________,high priests,J Mar V,good,
_____________,prizewinners,J Mar V,good,
__________,athletes,J Mar V,good,
_____ __________,supervisors of temples,J Mar V,good,
_____ __________,supervisors of crowds,J Mar V,good,
_______ ________________,cater to own pleasures,J Mar V,bad,
_______,unsteady,J Mar V,bad,
________,ups and downs,J Mar V,bad,
_________ ___ __________,blameworthy in sex,J Mar V,bad,
__________ ___ __________,indiscriminate in sex,J Mar V,bad,
_____________ ___________,experience public exposure,J Mar V,bad,
_________ ___________,experience public betrayal,J Mar V,bad,
___________ ____ ______,grieved with respect to children,J Mar V,bad,
___________ ____ _______,grieved with respect to slaves,J Mar V,bad,
__________ _________,enjoying new associations,J Mar V,good,
_________ ________,separations from women,J Mar V,bad,
_____________,easily successful in business,J Mer Su,good,
__________,many friends,J Mer Su,good,
______________ _______,worthy of trust,J Mer Su,good,
______________ _____,worthy of honours,J Mer Su,good,
______________ __________,worthy of stewardship,J Mer Su,good,
_________ __ ________,associations with the great,J Mer Su,good,
________,success,J Mer Su,good,
___ ______ _____ _______________,rise from humble origins,J Mer Su,good,
________________,decorated,J Mer Su,good,
____ __________ ___________,lose possessions,J Mer Su,bad,
_________,easily deceived,J Mer Su,bad,
______ ____ _____ ______,poor for a while,J Mer Su,bad,
________ _______________,do things for religion,J Mer Su,?,
___ ______ ,not without livelihood,J Mer Su,good,
__ ____________ ____________,benefit from unexpected sources,J Mer Su,good,
__ ________ ____________,benefit from people in high places,J Mer Su,good,
_______,noble,J Mer Moo,good,
_____________,propertied,J Mer Moo,good,
_______ ___________,shrewd,J Mer Moo,good,
____________,thrifty,J Mer Moo,good,
______ _______________,share of gifts,J Mer Moo,good,
_______ _______________,share of trusts,J Mer Moo,good,
_________,religious,J Mer Moo,good,
________,intelligent,J Mer Moo,good,
________,eloquent,J Mer Moo,good,
________ _______,guardians of property,J Mer Moo,good,
_________ _______,guardians of deposits,J Mer Moo,good,
___________ ___ _____,make careers from documents,J Mer Moo,?,
___________ ___ _____,make careers from accounts,J Mer Moo,?,
____________,lavish,J Mer Moo,good,
__________,tax gatherers,J Mer Moo,good,
________,stipend holders,J Mer Moo,good,
__________,many friends,J Mer Moo,good,
____________,well known,J Mer Moo,good,
____________,trustees,J Mer Moo,good,
_________ _________,administrators of business,J Mer Moo,good,
____________,generous,J Mer Moo,good,
__________,athletes,J Mer Moo,good,
_____________,prizewinners,J Mer Moo,good,
______________ _____,worthy of honours,J Mer Moo,good,
______________ _______,worthy of pictures,J Mer Moo,good,
______________ __________,worthy of statues,J Mer Moo,good,
________ _______,discoverers of treasure,J Mer Moo,good,
____ _________,overseers of temples,J Mer Moo,good,
_____ _________,overseers of shrines,J Mer Moo,good,
___________ ______,rebuild places,J Mer Moo,good,
______________ ______,replant places,J Mer Moo,good,
______________ ______,restore places,J Mer Moo,good,
__________ _____,eternal fame,J Mer Moo,good,
______,good,J Mer V,good,
__________ ____,possession of livelihood,J Mer V,good,
_________ _______,success in business,J Mer V,good,
_______,intelligent,J Mer V,good,
_____,straightforward,J Mer V,good,
___________,generous,J Mer V,good,
_____,sweet,J Mer V,good,
_____________,loving their families,J Mer V,good,
___________,cheerful,J Mer V,good,
________ _______,participants in education,J Mer V,good,
______ _______,participants in culture,J Mer V,good,
________,pure,J Mer V,good,
_________,decent,J Mer V,good,
_____________ _____,worthy of honours,J Mer V,good,
_____________ _____,worthy of rank,J Mer V,good,
____ ________ ______________,associated with the great,J Mer V,good,
_______ _______________,share in trusts,J Mer V,good,
__________ _______________,share in stewardship,J Mer V,good,
______________ __ ___,honoured with livelihoods,J Mer V,good,
__________,foster young,J Mer V,good,
__________,fond of education,J Mer V,good,
_______ __________,masters of slaves,J Mer V,good,
__ ______ ______ ___________ _____,rear some slaves like children,J Mer V,good,
__ ______ ______ ___________ _____,benefit some slaves like children,J Mer V,good,
___ ____ __ ________ _____________,know future from gods,J Mer V,?,
________,pious,J Mer V,good,
____ ________ ___ ______ _______,unsteady with respect to wife and children,J Mer V,bad,
____ ________ ___ ______ ________,grieved with respect to wife and children,J Mer V,bad,
______________,spectacular,J V Su,good,
_________,glorious,J V Su,good,
___________,petty,J V Su,bad,
_________ ____ _______,mentally unstable,J V Su,bad,
_________,arrogant,J V Su,bad,
___________,liberal,J V Su,good,
____________,beneficent,J V Su,good,
_____________,changeable,J V Su,good,
______ ______ ___ ___________ ____________,exalted with help of another's fame and possessions,J V Su,?,
___ ______ _____ _______________,coming from humble origins,J V Su,?,
_________,high-priests,J V Su,good,
____________,prizewinners,J V Su,good,
_______,leaders,J V Su,good,
__________,governors,J V Su,good,
________ _________ __________,preeminent in public matters,J V Su,good,
_____ ___________,protectors of masses,J V Su,good,
_____________ ______,worthy of gifts,J V Su,good,
_____________ _____,worthy of honours,J V Su,good,
__ ___ _____________,granted livelihoods,J V Su,good,
____ ___________ ________,unnatural fetishes / sexual vices,J V Su,bad,
____ ___________ ________,blameworthy in sex,J V Su,bad,
___ _______ ______________,happy with wives,J V Su,good,
___ _______ ______________,happy with children,J V Su,good,
__________,vigorous,J V Moo,good,
________,famous,J V Moo,good,
_____________,high priests,J V Moo,good,
_____________,prizewinners,J V Moo,good,
_____ __________,overseers of temples,J V Moo,good,
____ __________,overseers of shrines,J V Moo,good,
____________,benefactors,J V Moo,good,
_________,eager for fame,J V Moo,?,
_____ _______ ______________,catering to pleasures of masses,J V Moo,bad,
______ _______ _____________,receive trusts of cities,J V Moo,good,
_____ _______ _____________,receive trusts of villages,J V Moo,good,
_____ ______________,worthy of honours,J V Moo,good,
_____________,well-spoken,J V Moo,good,
_______________ ___ _______,envied by family,J V Moo,?,
_______________ ___ _______,envied by friends,J V Moo,?,
______ ___________,experience hostility,J V Moo,bad,
_______________ ___________,experience opposition,J V Moo,bad,
____ ________ ___ _________ ________,unsteady with respect to wife and close friends,J V Moo,bad,
____ ________ ___ _________ ___________,quarrelsome with respect to wife and close friends,J V Moo,bad,
____ __________ _________,live with jealousy,J V Moo,bad,
____ ________ _________,live with separation,J V Moo,bad,
____ _______ _________,live with pain,J V Moo,bad,
_________,in suspense,J V Moo,bad,
_________ ___________,close with relatives,J V Moo,good,
____ ________ ___ __________,not undisturbed home life,J V Moo,bad,
__ __________ __________,get into partnerships,J V Moo,?,
____ ____ _____________,spectacular in manner of life,J V Moo,good,
__ ________ _________,full of false show,J V Moo,bad,
________,famous,V Su Moo,good,
__________,vigorous,V Su Moo,good,
__ __________,live with ostentation,V Su Moo,?,
_________,malicious,V Su Moo,bad,
_________,blameworthy,V Su Moo,bad,
___ ___ ________ ______________,slandered by most people,V Su Moo,bad,
____________ ___ _________,envied and hated by the great,V Su Moo,bad,
____________ ___ _______,envied and hated by family,V Su Moo,bad,
__ _______,succeed,V Su Moo,good,
______ __________,gain possessions,V Su Moo,good,
__ ____ __________,raised high by fortune,V Su Moo,good,
_________ ____ ________ ___ ______,unsteady with respect to wife and children,V Su Moo,bad,
_________,fond of friends,V Su Moo,good,
__ __________ _________,travel much,V Su Moo,good,
___ _____ ___________,good fortune abroad,V Su Moo,good,
___ _______,not without resources,V Mar Moo,good,
____ _________,not inactive,V Mar Moo,good,
_________,fickle,V Mar Moo,bad,
________ ____ _______,mentally unstable,V Mar Moo,bad,
____________,quixotic,V Mar Moo,bad,
_______ ____________,beginning in confusion,V Mar Moo,bad,
__ ___________ _____ _________,putting no end to their affairs,V Mar Moo,bad,
____________,have great plans,V Mar Moo,?,
____________,contemptuous,V Mar Moo,bad,
________,wandering,V Mar Moo,bad,
_______,bold,V Mar Moo,good,
_________,public,V Mar Moo,good,
_____________,warlike,V Mar Moo,bad,
__________ ____ ________ _________ ___ _______,indiscriminate in use of male and female partners,V Mar Moo,bad,
_______________,maligned,V Mar Moo,bad,
__ _________ __________,fall into insulting treatments,V Mar Moo,bad,
__ _______ __________,fall into trials,V Mar Moo,bad,
______ ___ ______ ____________ ___ __________ _______,change friendships to enmities through criminal attempts,V Mar Moo,bad,
__ ___ ____________,fail in their way of life,V Mar Moo,bad,
_______,revered,Mer Su Moo,good,
_________,pure,Mer Su Moo,good,
____________,play part well,Mer Su Moo,good,
____________,stewards,Mer Su Moo,good,
_______ _______________,share in honours,Mer Su Moo,good,
______ _______________,share in positions,Mer Su Moo,good,
____________,benefactors,Mer Su Moo,good,
_________ ________,participants in mysteries,Mer Su Moo,?,
__________ _________,troubleshooters,Mer Su Moo,good,
________ _________ ___ ________ ___________,put on a great show of possessions,Mer Su Moo,?,
_____________,bodyguards,Mer Su Moo,good,
___________,chamberlains,Mer Su Moo,good,
________ __________,in charge of money,Mer Su Moo,good,
_________ __________,in charge of records,Mer Su Moo,good,
_____ __________,in charge of accounts,Mer Su Moo,good,
_ _____ _________ ____ __________,speech effective for advice,Mer Su Moo,good,
_ _____ _________ ____ _______,speech effective for instruction,Mer Su Moo,good,
__________,polymaths,Mer Su V,good,
___________,widely experienced,Mer Su V,good,
_______,noble,Mer Su V,good,
______ _____________,prominent in arts,Mer Su V,good,
_________ _____________,prominent in sciences,Mer Su V,good,
______________ _______,worthy of trusts,Mer Su V,good,
______________ ______,worthy of positions,Mer Su V,good,
_____________ __ _______________,repenting of what they've done,Mer Su V,?,
____ ______ ____________,sometimes wavering,Mer Su V,bad,
____________,moving in all directions,Mer Su V,?,
__ ____ ____________ ___ _______ _________,enjoying changes in their occupations,Mer Su V,?,
__________,many friends,Mer Su V,good,
____________,well known,Mer Su V,good,
___ ________ __ _______ __________,succeed through assocations with the great,Mer Su V,good,
__ ___ _______________,honoured with livelihoods,Mer Su V,good,
__ ____ _______________,honoured with high rank,Mer Su V,good,
_________,blameworthy ,Mer Su V,bad,
_______ ,good,Mer Moo V,good,
____________,easy to live with,Mer Moo V,good,
______,straightforward,Mer Moo V,good,
____________,generous,Mer Moo V,good,
___________,sense of humour,Mer Moo V,good,
__________,civic-minded,Mer Moo V,good,
________ ________,sharers in education,Mer Moo V,good,
______ ________,sharers in rhythm,Mer Moo V,good,
__________,ingenious,Mer Moo V,good,
___________,widely experienced,Mer Moo V,good,
________,neat,Mer Moo V,good,
_________,pure,Mer Moo V,good,
_______,simple,Mer Moo V,good,
________ _________ __________,participants in religious ceremonies,Mer Moo V,?,
___________,helpful,Mer Moo V,good,
__________,envied,Mer Moo V,?,
____________,hated,Mer Moo V,bad,
_________ ____ ____,unstable in livelihood,Mer Moo V,bad,
__________ ____ ________ ___ ______ _________,indiscriminate in sex with men and women,Mer Moo V,bad,
________,wealthy,Mer Moo V,good,
____________,thrifty,Mer Moo V,good,
________,profit,Mer Mar V,good,
_____ ,high rank,Mer Mar V,good,
_______,occupations,Mer Mar V,good,
___________ ____ ______,shrewd in giving,Mer Mar V,good,
___________ ____ ______,shrewd in receiving,Mer Mar V,good,
___________ ____ ___ ______ ___________,shrewd in undertaking other business,Mer Mar V,good,
____________,stewards,Mer Mar V,good,
__________,wicked,Mer Mar V,bad,
___________,widely experienced,Mer Mar V,good,
___________ ___ _________,start careers with documents,Mer Mar V,?,
___________ ___ ________,start careers with training,Mer Mar V,?,
_________,blameworthy,Mer Mar V,bad,
_____________,wasting wealth,Mer Mar V,bad,
____________,generous,Mer Mar V,good,
_______ _______________,wallowing in loans,Mer Mar V,bad,
______ _______________,wallowing in debts,Mer Mar V,bad,
__________,defaulting,Mer Mar V,bad,
_________ ________ _________,embezzlers of others' money,Mer Mar V,bad,
__________,seducers,Mer Mar V,bad,
__________ ______________,deceiving with their charm,Mer Mar V,bad,
________,wealthy,Mer Mar V,good,
_________,malignant,Mer Mar V,bad,
_____________ __ _______________,repenting of what they've done,Mer Mar V,?,
_______,bold,Mar Su Moo,good,
_________,manly,Mar Su Moo,good,
_________,reckless,Mar Su Moo,bad,
__________,vigorous,Mar Su Moo,good,
_________,athletes,Mar Su Moo,good,
____________,soldiers,Mar Su Moo,good,
_______,rulers,Mar Su Moo,good,
__________,governors,Mar Su Moo,good,
___ ______ _________ __________,make careers from violent deeds,Mar Su Moo,bad,
___ _________ __________,make careers from hateful deeds,Mar Su Moo,bad,
___ _________ ______ __________,make careers from laborious crafts,Mar Su Moo,?,
___ ____________ __________,make careers from hard materials,Mar Su Moo,?,
___________ ______________,fall into reversals,Mar Su Moo,bad,
____________ ________ ______________,fall into dangerous situations,Mar Su Moo,bad,
__ ________ ______ ________,suffer hostility from the great,Mar Su Moo,bad,
__ ________ ______ ________,suffer attacks from the great,Mar Su Moo,bad,
__________,many friends,Mar Su V,good,
____________,well known,Mar Su V,good,
______________ _________,worthy of alliances,Mar Su V,good,
______________ _____,worthy of honours,Mar Su V,good,
________,many resources,Mar Su V,good,
____________,love their associates,Mar Su V,good,
_________,criticised,Mar Su V,bad,
_____________,gossiped about,Mar Su V,bad,
___________ ____ _______,friendships don't last,Mar Su V,bad,
________ ____ ________,accomplisments are fleeting,Mar Su V,bad,
______ __________,desire much,Mar Su V,bad,
____________,spend much,Mar Su V,bad,
_______ ________,wrongers of women,Mar Su V,bad,
_____________,ready to be insolent,Mar Su V,bad,
